,,,,,,,,,,,,,,,,,,,,,,
,theta,uncertainty,,,port 1,port 2,port 3,port 4,port 5,uncertainty,ball diameter,Uncertainty,ball,uncertainty,Lenght,uncertainty,Height,Uncertainty,table angle,,d railing,
N,14.1,0.3,13.9,0.1,24.4,39.4,55.1,71.85,89.6,0.3,1.45,0.03,1.5,0.01,90.5,0.5,22.25,0.05,90.9,0.1,0.62,0.01
L,14.1,0.2,14,0.2,24.4,39.4,55.9,71.8,89.6,0.2,1.47,0.02,1.504,0.002,90.4,0.2,22.4,0.1,,,7.46,0.002
S,14.1,0.1,14.9,0.1,24.4,39.4,55,71.9,89.6,0.2,1.45,0.05,1.51,0.01,90.2,0.2,22.6,0.1,,,0.6,0.01
J,14.2,0.1,13.9,0.1,24.45,39.88,55.09,71.94,89.7,0.2,1.46,0.02,1.5,0.01,90.25,0.2,22.21,0.05,,,0.585,0.01
,"same instrument, other way around",,,,,,,,,,,,diff instrument used,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
N,13.1,0.1,13.2,0.1,,,,,,,,,,,,,,,,,,
L,13.2,0.2,13.3,0.2,,,,,,,,,,,,,,,,,,
S,13.1,0.1,13.5,0.1,,,,,,,,,,,,,,,,,,
J,13.2,0.1,13.4,0.1,,,,,,,,,,,,,,,,,,
,"same instrument both ways around, but experiment turned",,,,,,,,,,,,,,,,,,,,,
